Mortgage,Balance,Amount Past Due,Delinquency,Inquiry,Open Trade,Utilization,Gender,Race,Status
203986.45,3900.13,0.0,1,0,7,0.326949,0,1,1
125671.26,699.25,0.0,0,0,10,0.098912,0,0,0
157310.25,5379.12,0.0,0,0,5,0.17701,0,0,0
257953.7,3075.42,0.0,3,0,11,0.245454,1,0,0
158624.16,2298.02,0.0,0,0,10,0.475147,0,1,0
224250.93,855.66,0.0,0,3,1,0.115904,1,0,0
123982.94,344.56,0.0,0,0,8,0.431401,0,0,0
167673.75,155.21,0.0,0,0,2,0.62481,1,0,0
122998.68,2868.67,0.0,0,0,7,0.238866,1,0,0
159658.02,210.1,0.0,0,0,5,0.023145,1,1,0
230418.49,408.57,0.0,0,0,12,0.480952,1,1,0
76360.77,1535.04,313.78,0,1,13,0.189332,1,0,0
206065.42,78.98,0.0,0,0,6,0.180816,0,1,0
194264.14,2159.08,0.0,0,1,8,0.586363,0,0,0
144351.0,134.39,0.0,0,2,9,0.099664,0,0,0
93236.53,408.61,0.0,0,1,9,0.051336,0,0,0
184327.77,164.64,0.0,1,1,9,0.206687,0,1,0
148230.44,4673.04,0.0,0,0,11,0.711772,0,0,0
193960.57,7172.09,0.0,0,0,14,0.142812,1,0,0
181311.13,2629.79,0.0,0,0,12,0.351498,1,0,0
276106.73,2349.66,0.0,0,3,2,0.235892,1,0,0
165638.66,582.38,0.0,0,1,7,0.308163,1,1,1
118590.15,2259.14,0.0,0,0,6,0.19558,0,0,0
190756.54,2366.4,0.0,3,0,7,0.166606,0,0,0
193199.8,2859.82,0.0,0,2,7,0.325833,1,0,0
261551.25,3207.88,0.0,1,1,10,0.135408,1,0,1
230106.67,3318.11,0.0,0,1,6,0.44312,0,0,0
201412.26,39.21,0.0,0,2,3,0.134626,0,0,0
267798.17,2351.9,0.0,0,1,6,0.67023,0,1,0
108674.22,1955.74,0.0,0,1,12,0.340985,0,1,0
141614.91,4123.91,0.0,1,0,4,0.462831,0,1,0
124405.44,252.14,0.0,2,0,0,0.300429,0,0,1
156611.41,2246.23,0.0,1,3,14,0.222302,1,0,0
97398.83,1280.43,0.0,0,1,2,0.188312,1,0,0
218109.06,1311.38,0.0,0,0,9,0.332202,0,0,0
166666.64,325.3,0.0,0,1,12,0.237545,1,1,0
91751.62,2885.98,0.0,1,0,4,0.47485,1,0,0
119065.26,1418.47,0.0,0,2,5,0.443851,0,0,0
198810.83,218.23,0.0,0,0,4,0.424928,1,0,0
230287.59,14941.35,0.0,0,2,2,0.433491,0,0,0
299803.85,1870.22,0.0,0,0,2,0.372436,1,0,0
354831.75,1023.57,0.0,0,0,2,0.230267,0,0,0
204864.57,6521.81,0.0,1,0,6,0.168408,1,0,1
120627.71,3733.32,1244.53,1,2,7,0.187735,1,0,1
52077.22,3091.15,428.33,2,0,0,0.37204,0,0,1
196062.69,144.01,0.0,0,0,12,0.116474,0,1,0
131223.53,2248.47,0.0,0,1,10,0.37668,0,0,0
155078.56,4369.77,0.0,0,0,1,0.090836,1,0,0
143274.19,1373.4,0.0,0,0,12,0.365544,1,0,0
171552.55,2922.04,0.0,0,0,0,0.295361,0,0,0
243958.81,651.17,0.0,0,2,8,0.150431,1,1,1
189422.91,299.4,255.01,0,0,6,0.091633,0,0,0
170481.91,4328.75,0.0,0,0,7,0.564239,0,1,1
117860.77,1091.72,0.0,0,0,14,0.303756,0,1,0
79519.02,1430.78,0.0,0,0,13,0.13741,0,0,0
150821.53,720.69,0.0,0,0,4,0.56047,0,0,0
176773.05,1384.19,0.0,2,0,8,0.466946,0,0,0
286075.79,699.34,0.0,0,0,14,0.39446,0,0,0
187816.47,113.35,0.0,1,0,10,0.110756,1,0,0
238964.37,3988.06,0.0,0,2,13,0.161104,0,0,0
150042.26,374.42,0.0,0,0,6,0.029515,1,0,0
108903.37,768.83,0.0,0,0,4,0.126308,1,0,0
122092.99,3888.34,0.0,1,2,7,0.233309,1,0,1
136486.44,2192.17,0.0,0,2,12,0.29389,0,0,0
307708.18,1744.13,0.0,0,1,13,0.390719,1,1,0
130716.8,4344.98,0.0,0,0,10,0.146642,0,0,0
230309.35,357.7,0.0,0,0,10,0.044141,0,0,0
125824.37,1336.31,0.0,0,0,7,0.099645,0,1,0
235894.38,1258.99,309.41,0,0,4,0.405305,0,0,0
203097.06,6986.42,0.0,0,0,6,0.514578,1,0,0
170601.73,3452.31,0.0,0,1,7,0.220054,1,0,0
177554.25,441.14,0.0,0,0,12,0.240688,1,0,0
140712.74,334.45,0.0,0,1,8,0.473173,0,1,1
206764.33,926.21,0.0,1,0,11,0.246063,1,0,0
152700.99,437.99,0.0,1,0,0,0.192436,1,0,0
106463.65,935.33,0.0,0,1,11,0.417878,0,0,0
103323.75,226.08,0.0,0,2,7,0.428939,0,0,0
190355.28,1796.84,0.0,0,0,14,0.234373,1,0,0
274745.48,446.49,0.0,0,1,7,0.421308,0,1,0
189599.5,488.27,0.0,0,0,7,0.152736,0,0,0
172881.7,8021.95,0.0,0,0,1,0.259411,1,0,0
197149.57,3385.37,0.0,3,1,12,0.310293,0,0,1
258360.1,4281.34,0.0,0,0,10,0.133983,0,1,0
193162.95,131.17,0.0,1,0,12,0.159064,0,0,0
155344.37,611.33,0.0,0,0,1,0.192784,1,0,0
246377.32,935.83,0.0,0,0,3,0.370656,1,0,0
205725.39,3498.63,0.0,0,0,13,0.499673,1,1,0
272145.36,1893.49,0.0,0,0,0,0.50029,1,0,0
190994.07,12.4,0.0,0,3,7,0.440064,1,1,1
106531.86,673.47,0.0,0,1,6,0.177696,1,0,0
97910.45,3376.08,0.0,0,0,14,0.614913,0,1,0
279055.68,11350.07,0.0,0,0,12,0.030061,0,1,0
283419.94,845.65,0.0,0,1,13,0.423848,1,0,0
169228.85,1254.45,73.6,0,0,4,0.354859,1,0,1
157008.76,1863.59,0.0,1,0,8,0.076325,0,0,0
267686.66,1254.14,0.0,0,1,10,0.222706,1,0,0
113577.26,3326.05,961.57,0,0,14,0.298055,1,0,1
126316.38,4427.92,0.0,0,0,0,0.099692,0,0,0
218599.61,421.59,0.0,0,0,14,0.264504,0,1,0
156323.69,1585.19,0.0,2,0,5,0.118455,0,0,0
179692.69,222.38,101.47,0,0,1,0.306298,0,0,0
170193.43,350.94,0.0,0,2,9,0.328651,0,0,0
200254.47,1267.36,0.0,0,0,11,0.067665,0,0,0
264448.91,735.67,0.0,0,1,1,0.261415,0,0,0
185435.09,182.17,0.0,0,1,0,0.380302,0,0,0
218636.33,1498.13,0.0,0,0,13,0.033924,1,0,1
56989.67,2682.21,0.0,0,0,14,0.351249,1,1,0
177076.9,2616.8,0.0,0,0,2,0.391962,0,0,0
129406.18,756.94,0.0,0,1,13,0.587776,0,1,0
106871.22,1545.31,0.0,0,0,13,0.333374,0,0,0
127310.86,444.15,0.0,1,1,14,0.120803,0,0,0
159952.59,524.51,0.0,0,2,3,0.307034,0,0,0
234954.15,777.36,0.0,0,1,8,0.322414,0,0,0
100416.44,5694.93,0.0,1,5,14,0.431469,0,1,1
181837.89,1072.93,0.0,0,1,13,0.526987,1,0,0
150949.83,1764.47,0.0,0,2,9,0.295002,0,0,0
160339.61,1533.15,0.0,0,2,2,0.246828,1,1,1
240165.47,2754.56,0.0,3,1,1,0.292438,0,0,1
212286.93,5837.86,365.94,0,2,3,0.226264,0,1,1
260243.89,848.43,0.0,0,3,0,0.326375,1,0,1
170729.66,2629.95,0.0,0,0,2,0.115866,0,1,0
138243.44,808.91,0.0,0,1,1,0.417229,1,0,0
166568.47,4133.79,0.0,0,0,11,0.354301,1,0,0
194549.81,298.97,0.0,0,2,8,0.304708,1,0,0
190594.4,290.76,0.0,2,0,7,0.125652,0,0,1
114936.72,1498.92,0.0,0,2,12,0.107465,0,1,0
185429.39,170.91,0.0,0,1,6,0.47441,0,0,0
193693.7,646.4,0.0,0,3,6,0.589349,0,0,0
331048.44,1562.0,0.0,3,0,3,0.341045,0,0,1
292610.68,606.83,0.0,0,1,6,0.638517,1,1,0
128805.4,5289.25,0.0,0,1,2,0.446433,1,0,0
162757.0,1565.28,0.0,1,3,8,0.138509,0,1,0
92193.48,1293.76,0.0,0,2,14,0.305452,0,0,0
144557.58,1489.14,0.0,1,1,7,0.218502,1,1,1
198936.3,2536.82,0.0,0,1,4,0.351736,1,0,0
252351.22,722.18,0.0,0,0,10,0.280301,0,0,0
136254.97,2821.36,66.13,1,4,12,0.380852,0,0,1
140751.21,5099.48,0.0,0,0,7,0.403978,1,0,0
51162.66,4082.13,0.0,0,1,3,0.172871,1,1,1
170240.04,1445.96,0.0,0,1,10,0.266599,1,1,1
116255.14,487.06,0.0,0,0,2,0.316254,0,0,0
148233.63,655.76,0.0,0,0,14,0.371942,0,1,0
127388.35,3216.6,0.0,0,0,4,0.491742,0,0,1
174344.25,1848.88,0.0,0,2,5,0.125017,0,0,0
74536.3,789.84,0.0,0,0,10,0.152781,1,0,0
91977.29,63.75,1.63,0,0,0,0.145861,0,0,0
307754.83,3938.99,0.0,1,1,3,0.468239,1,0,1
102754.65,331.74,0.0,0,0,1,0.377346,1,0,0
114192.87,1195.51,0.0,0,2,5,0.154359,1,0,0
290214.81,628.33,0.0,0,0,8,0.275316,1,1,0
354304.03,839.49,0.0,0,0,2,0.062755,1,1,0
109706.0,161.63,0.0,0,0,5,0.083834,0,0,0
157905.06,666.24,0.0,0,0,11,0.113125,0,0,0
200493.33,5010.78,0.0,0,0,14,0.444611,0,1,0
283721.86,1208.77,0.0,2,1,0,0.402012,1,0,1
120788.58,1168.34,0.0,1,0,9,0.161845,1,1,0
165283.33,1773.85,0.0,0,0,0,0.184637,0,0,0
226640.25,872.09,0.0,1,0,7,0.114438,0,0,0
206085.96,791.52,0.0,1,0,13,0.123662,0,0,0
157430.64,39.26,0.0,0,3,11,0.17134,0,1,0
171970.62,3132.32,0.0,0,0,3,0.312921,1,1,1
97506.25,2423.26,80.08,0,4,3,0.267433,0,0,0
165709.58,1014.81,0.0,0,0,11,0.03999,1,1,0
164016.75,1965.55,0.0,0,0,12,0.129165,1,1,0
193930.19,1016.62,0.0,0,0,4,0.345353,0,0,0
146680.37,245.44,0.0,0,0,0,0.303819,0,1,0
208292.31,312.88,0.0,1,1,6,0.18197,1,0,0
240762.95,6678.7,0.0,0,0,9,0.347671,1,0,0
189325.76,2536.09,0.0,0,0,6,0.185319,0,0,0
201105.38,893.93,0.0,0,1,14,0.403872,0,1,0
183189.32,2834.45,0.0,0,1,12,0.33036,1,1,0
180005.06,1450.09,0.0,0,3,11,0.202759,1,0,0
136706.52,3086.08,0.0,1,3,0,0.660943,1,0,1
198989.66,2195.16,0.0,1,1,12,0.243067,1,0,1
174162.8,2820.06,0.0,1,2,11,0.453898,1,1,1
305590.1,11.48,0.0,1,1,5,0.430797,0,1,1
274401.29,8611.4,0.0,2,0,8,0.11345,1,0,0
203150.79,95.1,0.0,0,1,12,0.17734,0,0,0
134216.57,997.99,0.0,0,0,13,0.520367,1,0,0
113255.31,264.43,0.0,0,1,8,0.198216,1,0,0
251468.58,432.44,0.0,0,3,0,0.319252,1,0,0
195764.95,1051.72,0.0,0,0,9,0.160501,0,0,0
208808.6,881.03,0.0,0,2,10,0.356874,1,0,0
75324.84,5779.9,307.93,2,3,0,0.164435,1,0,1
235646.31,972.98,0.0,0,0,12,0.42079,1,1,0
207265.22,6016.17,0.0,2,0,3,0.335811,1,0,1
113374.16,1746.14,0.0,0,3,13,0.362245,0,0,0
151708.51,996.71,0.0,0,3,8,0.479386,0,1,1
195823.03,1828.23,0.0,0,0,4,0.316941,1,1,0
183148.01,1730.91,0.0,0,0,0,0.217798,1,0,0
162469.73,596.54,0.0,0,1,0,0.10095,1,0,0
173790.7,582.54,0.0,0,0,11,0.420551,1,0,0
164881.36,4586.44,0.0,2,0,5,0.48014,0,0,1
189153.75,159.24,0.0,0,0,12,0.599487,0,0,0
268289.52,1446.48,0.0,0,0,3,0.390152,1,0,0
26000.49,6105.95,0.0,0,1,13,0.12532,0,0,0
165788.98,763.43,0.0,0,1,14,0.554957,1,0,0
190590.75,3363.25,186.09,0,1,1,0.1956,1,0,0
197759.64,743.3,0.0,0,1,9,0.200482,1,0,0
157685.13,6250.48,0.0,0,0,14,0.353495,0,0,0
74596.69,300.3,0.0,0,0,4,0.181095,1,0,0
199679.73,1059.54,0.0,0,0,1,0.369448,0,1,0
283641.01,1438.7,322.32,0,0,13,0.213107,0,0,0
87968.32,2736.08,0.0,0,0,7,0.486187,0,0,0
231829.68,1715.19,0.0,0,0,0,0.392946,0,0,0
160288.49,3070.47,310.27,0,0,12,0.119658,1,0,0
176320.54,306.15,0.0,0,0,10,0.42006,1,1,1
116826.09,3190.95,0.0,0,1,1,0.239825,0,1,1
159932.63,4917.56,1675.74,0,1,3,0.635553,1,0,1
258002.68,2868.65,0.0,0,3,0,0.225124,0,0,0
214959.31,770.39,0.0,0,1,14,0.362778,1,0,0
283938.7,455.54,0.0,0,1,0,0.26531,1,0,0
250644.71,634.41,0.0,2,0,11,0.158179,1,0,1
206345.2,255.69,0.0,0,1,7,0.253669,0,1,1
284636.07,2188.32,0.0,1,0,8,0.398019,0,1,1
206339.59,1595.46,0.0,0,0,12,0.232481,0,0,0
229679.29,1597.69,0.0,0,0,13,0.158024,1,0,0
162205.74,1936.75,0.0,0,0,1,0.382778,1,0,0
183992.75,4582.47,0.0,0,0,0,0.181402,0,0,0
138154.57,136.64,283.51,1,1,1,0.397398,0,0,1
239375.04,1018.88,0.0,0,2,10,0.354635,1,1,0
109301.78,495.09,0.0,0,1,8,0.301562,0,1,1
226941.02,2484.37,0.0,0,1,1,0.4267,1,0,0
168560.94,4247.91,0.0,0,0,3,0.561831,1,0,0
250274.83,677.84,0.0,0,0,8,0.338216,0,0,0
225052.14,1254.52,0.0,3,1,10,0.195665,0,1,1
289238.77,96.17,0.0,0,0,5,0.475445,0,0,0
223846.48,1269.27,0.0,1,0,14,0.399175,0,0,0
85677.58,739.74,0.0,0,0,14,0.355336,1,0,0
175982.81,1939.71,0.0,0,3,11,0.075425,1,0,0
109679.57,1339.55,0.0,0,1,6,0.404211,0,0,0
148903.21,3227.35,0.0,1,0,13,0.252386,0,0,0
270673.71,1106.83,0.0,0,1,10,0.036724,0,0,0
218252.03,1273.97,0.0,0,0,7,0.017152,0,1,0
138064.17,3742.03,0.0,0,0,6,0.181778,1,0,0
119176.96,1157.15,0.0,0,0,12,0.038663,1,0,0
181966.93,1977.53,0.0,0,0,8,0.30144,1,1,0
107006.39,506.46,0.0,0,1,2,0.071072,0,0,0
139731.58,2842.87,0.0,0,0,14,0.227903,1,0,0
198720.57,2066.58,0.0,0,1,1,0.201872,0,0,0
249318.72,2146.74,124.7,0,0,10,0.149424,1,0,0
216525.69,2257.15,0.0,1,1,9,0.203372,1,1,1
42522.63,1883.46,462.96,0,1,8,0.200389,1,0,1
198262.0,162.26,0.0,3,1,0,0.452046,0,0,1
184322.01,734.36,356.6,2,1,7,0.605635,0,0,1
204833.42,4190.52,0.0,0,3,13,0.494095,1,0,1
276972.58,3504.37,0.0,0,0,3,0.109286,0,0,0
56205.7,3439.15,0.0,0,1,10,0.429644,1,1,1
144533.79,5868.21,0.0,0,1,12,0.487142,0,1,1
215454.38,1677.17,0.0,0,0,14,0.056226,1,1,0
85104.34,1554.62,0.0,0,0,7,0.18631,0,0,0
268556.94,1386.89,0.0,0,0,4,0.405397,1,0,0
202101.4,134.51,0.0,0,0,10,0.16611,0,1,0
230795.04,1472.09,0.0,3,0,7,0.477487,0,0,0
145743.38,2655.92,0.0,0,0,9,0.352392,0,0,0
228825.82,660.03,0.0,0,1,11,0.371616,0,1,0
244108.29,4470.63,0.0,3,0,10,0.529016,1,0,0
193972.68,2012.0,0.0,0,2,3,0.456311,1,0,0
194064.05,2394.13,0.0,0,0,11,0.105802,1,1,0
196220.59,1879.33,0.0,1,1,8,0.172346,1,0,0
128199.28,3411.23,0.0,0,0,13,0.315589,1,0,0
171148.28,1238.7,0.0,0,0,9,0.162468,0,0,0
170848.65,1562.83,0.0,0,0,13,0.350526,1,1,0
203003.63,549.11,0.0,2,1,14,0.349529,0,0,0
239989.45,1446.21,0.0,0,0,14,0.108584,1,1,1
116487.84,543.81,0.0,0,3,11,0.317173,0,0,0
172499.46,3611.56,128.93,0,0,8,0.149312,1,0,0
268887.33,1704.51,0.0,0,1,1,0.196963,0,0,0
135384.71,1678.36,0.0,0,0,5,0.315754,0,0,0
130665.0,3202.41,0.0,0,1,7,0.441415,0,0,0
192138.37,497.85,0.0,1,0,11,0.120533,0,0,0
230663.11,519.09,0.0,0,0,8,0.441107,0,0,0
180685.56,6168.19,0.0,0,0,6,0.344501,0,0,0
259737.64,1837.25,0.0,0,0,2,0.317444,0,1,0
231407.64,1695.2,0.0,0,0,10,0.220068,1,1,0
230509.2,33.13,0.0,0,5,6,0.324133,0,0,1
213246.99,993.11,0.0,0,0,0,0.134309,1,0,0
319659.19,4618.78,0.0,0,0,4,0.213529,0,0,0
167690.3,3343.95,0.0,0,3,13,0.441871,1,0,1
59788.66,1021.2,0.0,0,0,1,0.337815,0,0,0
276255.26,2110.28,0.0,0,0,6,0.357986,0,0,0
152538.03,932.16,0.0,0,1,7,0.770352,1,0,1
186472.83,1207.71,0.0,2,2,1,0.202194,1,0,1
258573.04,869.5,839.97,0,1,2,0.370428,0,1,1
83864.43,493.26,0.0,2,0,14,0.115313,0,0,0
104901.17,1578.21,0.0,1,4,8,0.538999,0,0,1
83923.32,1346.75,21.62,0,0,3,0.254515,0,0,0
132351.82,6149.63,0.0,2,4,2,0.29139,0,0,1
206378.2,232.65,0.0,0,2,6,0.056291,1,0,0
211451.27,1196.28,0.0,0,3,10,0.254266,0,0,0
196576.45,2887.01,0.0,0,0,10,0.116632,1,0,0
95234.05,1455.44,0.0,0,0,2,0.637867,0,0,0
41393.79,5304.46,0.0,0,1,10,0.243555,0,0,0
183261.22,972.57,0.0,0,0,13,0.149465,0,0,0
151693.44,330.45,0.0,0,0,3,0.25268,0,1,0
207563.15,4303.78,0.0,1,3,0,0.171009,0,1,1
222117.22,141.51,0.0,0,1,14,0.017653,1,1,0
188294.49,1116.16,0.0,0,0,7,0.26834,1,0,0
225607.99,833.95,0.0,0,0,11,0.12,0,0,0
193752.68,1841.75,0.0,0,0,4,0.273155,0,0,0
211803.88,2598.43,0.0,0,0,4,0.519795,1,1,0
137719.6,1281.83,0.0,0,0,3,0.424696,0,1,0
169223.32,3769.32,213.34,0,2,3,0.485318,0,1,1
191806.57,94.51,0.0,0,1,7,0.314129,1,0,0
229231.71,782.76,0.0,1,0,1,0.261905,0,0,1
156375.53,1746.55,0.0,0,0,12,0.08785,0,1,0
211270.04,952.44,0.0,0,1,7,0.357153,0,0,0
164049.67,310.97,0.0,0,2,13,0.51543,1,0,0
172947.47,458.08,0.0,1,2,7,0.294244,0,0,0
229771.14,1011.21,0.0,0,0,4,0.727927,1,0,1
60416.38,841.67,0.0,0,2,7,0.296907,0,0,0
102211.66,2616.37,0.0,0,0,2,0.478293,0,0,0
91068.88,2369.19,626.4,0,0,12,0.201041,0,1,1
39983.03,2240.8,27.11,0,2,10,0.203104,1,1,0
139304.13,1944.64,0.0,0,0,2,0.177422,0,1,0
224966.03,2794.63,0.0,0,0,8,0.162673,1,0,0
162906.96,5916.18,0.0,0,0,8,0.504891,0,0,0
191867.4,698.19,283.63,0,0,3,0.086127,0,0,0
245353.05,4308.69,0.0,0,0,1,0.142447,0,1,1
259661.17,30.17,0.0,2,1,11,0.65646,0,0,1
175851.72,6076.71,0.0,0,0,3,0.445602,0,1,0
261215.15,211.34,0.0,0,0,7,0.227844,1,0,1
185527.6,238.63,0.0,0,2,3,0.330596,1,0,0
129756.11,1139.71,0.0,1,0,9,0.246614,1,1,0
144335.98,333.26,0.0,0,3,0,0.453295,1,0,0
91167.81,24.69,0.0,1,0,5,0.162857,0,1,1
126711.97,0.14,0.0,0,1,8,0.143031,1,0,0
158519.0,668.59,0.0,0,0,6,0.211452,0,0,0
228215.1,3494.85,0.0,0,2,9,0.492984,1,0,0
283246.19,257.19,0.0,0,0,2,0.09659,1,1,0
97069.11,1836.79,0.0,1,2,6,0.440411,0,0,0
203569.65,3451.36,0.0,1,0,11,0.264814,1,1,1
117567.36,435.31,0.0,0,1,5,0.178239,1,1,0
208481.83,682.53,0.0,3,0,2,0.506854,0,0,0
172134.8,10126.71,0.0,0,0,12,0.138622,1,1,1
70145.65,2412.78,0.0,0,0,11,0.447251,0,1,1
235697.82,1444.53,0.0,0,0,10,0.423268,0,0,0
143699.96,3723.36,0.0,0,0,11,0.274872,0,1,0
147965.99,217.99,0.0,1,1,11,0.727969,1,0,1
115814.86,3095.15,0.0,0,0,11,0.109921,0,0,0
140743.0,2733.44,0.0,0,0,7,0.162308,1,0,0
205673.43,906.03,0.0,0,0,0,0.372856,0,1,0
168645.34,727.35,0.0,0,0,8,0.500621,0,0,0
199719.72,1646.72,0.0,0,0,4,0.609775,1,0,0
201715.31,2903.95,0.0,0,1,11,0.516639,0,0,0
259239.7,3212.17,0.0,0,0,7,0.392009,1,0,0
159432.83,4520.93,0.0,0,2,13,0.537513,0,1,1
91388.53,402.35,0.0,0,0,8,0.074179,1,1,0
244033.34,553.85,0.0,0,0,8,0.145014,1,0,0
160110.71,2703.74,0.0,0,2,13,0.091533,0,0,0
246875.55,403.23,0.0,0,0,7,0.291126,0,1,0
203002.63,18.03,0.0,2,0,5,0.368486,0,0,1
172131.75,476.47,0.0,0,3,5,0.120671,1,0,0
200926.55,724.6,0.0,2,3,13,0.38049,1,1,1
297060.75,729.81,0.0,0,1,11,0.265177,0,1,0
304618.83,2250.55,0.0,0,0,2,0.264093,0,0,0
